Image,Title_URL,Label,meta,postbedrooms,postsqft,Price
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-laneway-house-april/7818268822.html,Furnished laneway house ( April 1 ),1h ago1br600ft2vancouver west - Shaughnessy,1br,600ft2,"$3,450"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/delta-rarely-available-luxury-concrete/7820021579.html,Rarely available Luxury concrete condo with amazing views,1h ago2br840ft2Vancouver,2br,840ft2,"$3,500"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-bedrooms-luxury/7820020793.html,BRAND NEW 2 Bedrooms luxury concrete condo at GILMORE PLACE,1h ago2br695ft2Burnaby,2br,695ft2,"$2,800"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-new-furnished-vancouver-br/7821646877.html,NEW (Furnished) Vancouver 2 BR + Flex + 2 Bathroom Basement for Rent,1h ago2br850ft2Vancouver Langara,2br,850ft2,"$3,300"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/richmond-luxury-condo-1060-sq-ft/7818931752.html,Luxury Condo 1060 sq ft - 2 Bedrooms + 2 Baths in Central Richmond (Ri,1h ago2br1060ft2Richmond,2br,1060ft2,"$3,100"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-beds-bath-house/7821646668.html,2 Beds 1 Bath House,1h ago2br1800ft2West Vanvouver,2br,1800ft2,"$3,500"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-2br-penthouse-with/7816257026.html,Stunning 2BR Penthouse with Breathtaking Views in Yaletown,1h ago2br900ft2Yaletown,2br,900ft2,"$4,000"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-private-entry-near/7820293062.html,2 BEDROOM private entry near Skytrain Langara Oakridge,2h ago2brLangara 49th Ave Skytrain,2br,,"$2,800"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/bnc/apa/d/coquitlam-bed-bath-unit-available-for/7821646239.html,2 Bed 1 Bath Unit Available for rent,2h ago2br1000ft2Coquitlam,2br,1000ft2,"$2,300"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/pml/apa/d/coquitlam-pet-friendly-complex-in/7820273404.html,"Pet Friendly Complex in Coquitlam, BC.","2h ago1br565ft21000 Brunette Avenue, Coquitlam, BC",1br,565ft2,"$2,175"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/rch/apa/d/richmond-bedrooms-bathroom-apartment/7821646145.html,2 Bedrooms + 1 bathroom Apartment,2h ago2br950ft2Richmond,2br,950ft2,"$2,400"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bathroom-furnished-corner/7821646228.html,1 Bed 1 Bathroom Furnished Corner Unit in Olympic Village,2h ago1br670ft2Olympic Village,1br,670ft2,"$2,900"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-north-central-garden/7821646203.html,Garden Suite,2h ago1br700ft2NORTH VANCOUVER,1br,700ft2,"$2,200"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/rds/apa/d/surrey-east-one-bed-room-basement/7821644728.html,ONE BED ROOM BASEMENT,2h ago1brNEWTON / FLEETWOOD,1br,,"$1,400"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-newly-renovated-6th-floor/7818919608.html,Newly Renovated 6th floor 1 Bedroom,2h ago1br500ft2Vancouver,1br,500ft2,"$2,290"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-one-bedroom-suite-in-the-west/7818913266.html,One Bedroom Suite in the West End,2h ago1br500ft2Vancouver,1br,500ft2,"$2,255"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-northwest-1300sqf-2bd/7815365756.html,***1300sqf 2bd bsmnt suite***,2h ago2br1300ft2North Vancouver,2br,1300ft2,"$2,600"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-mount-pleasant-bedroom-and-den/7821645706.html,Mount Pleasant 1-bedroom and Den,2h ago1brVancouver,1br,,"$2,900"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/bnc/apa/d/new-westminster-fraser-prospect-bedroom/7814675189.html,Fraser Prospect 1 Bedroom Available,2h ago1br650ft2514 13th Street New Westminster,1br,650ft2,"$1,850"
